Date,Revenue_Total,Revenue_Enterprise,Revenue_SMB,Revenue_Consumer,Revenue_US,Revenue_Europe,Revenue_APAC,Revenue_LATAM,ARR,MRR,Customer_Count,Enterprise_Customers,SMB_Customers,Consumer_Customers,ARPU_Enterprise,ARPU_SMB,ARPU_Consumer,Churn_Rate,NRR,CAC,LTV,Gross_Margin,Operating_Margin,Cash_Flow,Headcount,R&D_Spend,Sales_Marketing_Spend
2015-01-01,850000,425000,255000,170000,510000,170000,85000,85000,10200000,850000,2150,50,350,1750,8500,729,97,0.032,1.05,850,24500,0.72,0.15,127500,45,127500,255000
2015-02-01,892500,450000,267750,174750,535500,178500,89250,89250,10710000,892500,2250,52,365,1833,8654,733,95,0.031,1.06,845,25100,0.725,0.16,142800,46,133950,267750
2015-03-01,936750,472500,281250,182875,562050,187350,93675,93675,11241000,936750,2355,54,380,1921,8750,740,95,0.03,1.065,840,25800,0.73,0.165,154663,47,140513,281250
2015-04-01,980000,495000,294000,191000,588000,196000,98000,98000,11760000,980000,2460,56,395,2009,8839,744,95,0.029,1.07,835,26500,0.735,0.17,166600,48,147000,294000
2015-05-01,1029000,520000,308700,200300,617400,205800,102900,102900,12348000,1029000,2575,58,410,2107,8966,753,95,0.028,1.075,830,27200,0.74,0.175,180075,49,154350,308700
2015-06-01,1080000,545000,324000,211000,648000,216000,108000,108000,12960000,1080000,2690,60,425,2205,9083,762,96,0.027,1.08,825,27900,0.745,0.18,194400,50,162000,324000
2015-07-01,1134000,572000,340200,221800,680400,226800,113400,113400,13608000,1134000,2810,62,440,2308,9226,773,96,0.026,1.085,820,28600,0.75,0.185,209790,51,170100,340200
2015-08-01,1190700,600000,357210,233490,714420,238140,119070,119070,14288400,1190700,2935,64,455,2416,9375,785,97,0.025,1.09,815,29300,0.755,0.19,226233,52,178605,357210
2015-09-01,1250000,630000,375000,245000,750000,250000,125000,125000,15000000,1250000,3065,66,470,2529,9545,798,97,0.024,1.095,810,30000,0.76,0.195,243750,54,187500,375000
2015-10-01,1312500,661500,393750,257250,787500,262500,131250,131250,15750000,1312500,3200,68,485,2647,9728,812,97,0.023,1.1,805,30700,0.765,0.2,262500,55,196875,393750
2015-11-01,1378000,694500,413400,270100,826800,275600,137800,137800,16536000,1378000,3340,70,500,2770,9921,827,97,0.022,1.105,800,31400,0.77,0.205,282490,56,206700,413400
2015-12-01,1446900,729000,434070,283830,868140,289380,144690,144690,17362800,1446900,3485,72,515,2898,10125,843,98,0.021,1.11,795,32100,0.775,0.21,303849,58,217035,434070
2016-01-01,1519000,765000,455700,298300,911400,303800,151900,151900,18228000,1519000,3635,74,530,3031,10338,860,98,0.02,1.115,790,32800,0.78,0.215,326585,60,227850,455700
2016-02-01,1595000,803000,478500,313500,957000,319000,159500,159500,19140000,1595000,3790,76,545,3169,10566,878,99,0.019,1.12,785,33500,0.785,0.22,350900,62,239250,478500
2016-03-01,1674750,843000,502425,329325,1004850,334950,167475,167475,20097000,1674750,3950,78,560,3312,10808,897,99,0.018,1.125,780,34200,0.79,0.225,376819,64,251213,502425
2016-04-01,1758000,885000,527400,345600,1054800,351600,175800,175800,21096000,1758000,4115,80,575,3460,11063,917,100,0.017,1.13,775,34900,0.795,0.23,404340,66,263700,527400
2016-05-01,1845900,929000,553770,363130,1107540,369180,184590,184590,22150800,1845900,4285,82,590,3613,11329,938,101,0.016,1.135,770,35600,0.8,0.235,433987,68,276885,553770
2016-06-01,1938000,975000,581400,381600,1162800,387600,193800,193800,23256000,1938000,4460,84,605,3771,11607,961,101,0.015,1.14,765,36300,0.805,0.24,465120,70,290700,581400
2016-07-01,2034900,1023000,610470,401430,1220940,406980,203490,203490,24418800,2034900,4640,86,620,3934,11895,985,102,0.014,1.145,760,37000,0.81,0.245,498351,72,305235,610470
2016-08-01,2136000,1074000,640800,421200,1281600,427200,213600,213600,25632000,2136000,4825,88,635,4102,12205,1009,103,0.013,1.15,755,37700,0.815,0.25,534000,74,320400,640800
2016-09-01,2242800,1127000,672840,442960,1345680,448560,224280,224280,26913600,2242800,5015,90,650,4275,12522,1035,104,0.012,1.155,750,38400,0.82,0.255,571914,76,336420,672840
2016-10-01,2354000,1183000,706200,464800,1412400,470800,235400,235400,28248000,2354000,5210,92,665,4453,12859,1062,104,0.011,1.16,745,39100,0.825,0.26,612040,78,353100,706200
2016-11-01,2471700,1242000,741510,488190,1483020,494340,247170,247170,29660400,2471700,5410,94,680,4636,13213,1090,105,0.01,1.165,740,39800,0.83,0.265,654900,80,370755,741510
2016-12-01,2595000,1304000,778500,512500,1557000,519000,259500,259500,31140000,2595000,5615,96,695,4824,13583,1120,106,0.009,1.17,735,40500,0.835,0.27,700650,82,389250,778500
2017-01-01,2724750,1369000,817425,538325,1634850,544950,272475,272475,32697000,2724750,5825,98,710,5017,13969,1152,107,0.008,1.175,730,41200,0.84,0.275,749306,84,408713,817425
2017-02-01,2860000,1437000,858000,565000,1716000,572000,286000,286000,34320000,2860000,6040,100,725,5215,14370,1183,108,0.008,1.18,725,41900,0.845,0.28,800800,86,429000,858000
2017-03-01,3003000,1508000,900900,594100,1801800,600600,300300,300300,36036000,3003000,6260,102,740,5418,14784,1217,110,0.007,1.185,720,42600,0.85,0.285,855855,88,450450,900900
2017-04-01,3153000,1583000,945900,624100,1891800,630600,315300,315300,37836000,3153000,6485,104,755,5626,15221,1253,111,0.007,1.19,715,43300,0.855,0.29,914370,90,472950,945900
2017-05-01,3310650,1662000,993195,655455,1986390,662130,331065,331065,39727800,3310650,6715,106,770,5839,15679,1290,112,0.006,1.195,710,44000,0.86,0.295,976842,92,496598,993195
2017-06-01,3476000,1745000,1042800,688200,2085600,695200,347600,347600,41712000,3476000,6950,108,785,6057,16157,1329,114,0.006,1.2,705,44700,0.865,0.3,1042800,94,521400,1042800
2017-07-01,3649800,1832000,1094940,722860,2189880,729960,364980,364980,43797600,3649800,7190,110,800,6280,16655,1369,115,0.005,1.205,700,45400,0.87,0.305,1113189,96,547470,1094940
2017-08-01,3832000,1923000,1149600,759400,2299200,766400,383200,383200,45984000,3832000,7435,112,815,6508,17170,1410,117,0.005,1.21,695,46100,0.875,0.31,1187920,98,574800,1149600
2017-09-01,4023600,2018000,1207080,798520,2414160,804720,402360,402360,48283200,4023600,7685,114,830,6741,17702,1454,118,0.004,1.215,690,46800,0.88,0.315,1267434,100,603540,1207080
2017-10-01,4224000,2118000,1267200,838800,2534400,844800,422400,422400,50688000,4224000,7940,116,845,6979,18259,1500,120,0.004,1.22,685,47500,0.885,0.32,1351680,102,633600,1267200
2017-11-01,4435200,2223000,1330560,881640,2661120,887040,443520,443520,53222400,4435200,8200,118,860,7222,18839,1547,122,0.003,1.225,680,48200,0.89,0.325,1441440,104,665280,1330560
2017-12-01,4656000,2334000,1396800,925200,2793600,931200,465600,465600,55872000,4656000,8465,120,875,7470,19450,1596,124,0.003,1.23,675,48900,0.895,0.33,1536480,106,698400,1396800
2018-01-01,4888800,2450000,1466640,972160,2933280,977760,488880,488880,58665600,4888800,8735,122,890,7723,20082,1648,126,0.003,1.235,670,49600,0.9,0.335,1637652,108,733320,1466640
2018-02-01,5133000,2572000,1539900,1021100,3079800,1026600,513300,513300,61596000,5133000,9010,124,905,7981,20742,1701,128,0.002,1.24,665,50300,0.905,0.34,1745220,110,769950,1539900
2018-03-01,5389650,2700000,1616895,1072755,3233790,1077930,538965,538965,64675800,5389650,9290,126,920,8244,21429,1757,130,0.002,1.245,660,51000,0.91,0.345,1859337,112,808448,1616895
2018-04-01,5659000,2835000,1697700,1126300,3395400,1131800,565900,565900,67908000,5659000,9575,128,935,8512,22148,1816,132,0.002,1.25,655,51700,0.915,0.35,1980650,114,848550,1697700
2018-05-01,5941950,2976000,1782585,1183365,3565170,1188390,594195,594195,71303400,5941950,9865,130,950,8785,22892,1877,135,0.001,1.255,650,52400,0.92,0.355,2109593,116,891293,1782585
2018-06-01,6239000,3124000,1871700,1243300,3743400,1247800,623900,623900,74868000,6239000,10160,132,965,9063,23667,1940,137,0.001,1.26,645,53100,0.925,0.36,2246040,118,935850,1871700
2018-07-01,6550950,3280000,1965285,1305665,3930570,1310190,655095,655095,78611400,6550950,10460,134,980,9346,24478,2006,140,0.001,1.265,640,53800,0.93,0.365,2391097,120,982643,1965285
2018-08-01,6878000,3444000,2063400,1370600,4126800,1375600,687800,687800,82536000,6878000,10765,136,995,9634,25324,2074,142,0.001,1.27,635,54500,0.935,0.37,2544860,122,1031700,2063400
